"full_name","a","e","i","om","w","q","ad","period","H","diameter","ma","tp"
"358744 (2008 CR118)",1.842,0.5118,3.92,121.42,157.22,0.899,2.78,2.5,18.99,,180.30,2461056.23
"359170 (2009 CN5)",1.545,0.4655,11.91,349.71,53.25,0.826,2.26,1.92,19.95,,97.78,2460410.01
"359369 (2009 YG)",2.15,0.6960,3.38,138.62,67.77,0.654,3.65,3.15,18.52,,237.63,2460991.94
"360191 (1988 TA)",1.54,0.4786,2.53,194.65,105.26,0.803,2.28,1.91,21.08,0.4,329.39,2460659.86
"361754 (2007 YV29)",1.373,0.3568,21.88,59.30,321.87,0.883,1.86,1.61,19.18,,201.77,2460858.87
"363024 (1998 OK1)",1.356,0.4293,13.99,109.64,298.64,0.774,1.94,1.58,19.42,0.558,160.98,2460342.58
"363027 (1998 ST27)",0.8198,0.5298,21.06,197.52,322.43,0.385,1.25,0.742,19.64,0.578,277.29,2460662.79
"363067 (2000 CO101)",1.076,0.0901,15.32,353.03,64.95,0.979,1.17,1.12,19.21,,125.28,2460458.56
"363084 (2000 RD53)",1.787,0.4278,9.28,175.95,192.84,1.022,2.55,2.39,20.21,,24.39,2460541.38
"363116 (2001 GQ2)",1.214,0.5030,21.82,37.11,280.30,0.604,1.83,1.34,20.32,,153.15,2460392.55
"363305 (2002 NV16)",1.239,0.2208,3.50,183.26,179.24,0.965,1.51,1.38,21.41,,12.50,2460583.01
"363344 (2002 QC7)",1.169,0.1960,26.80,336.01,184.47,0.940,1.40,1.26,19.98,,354.54,2460607.50
"363505 (2003 UC20)",0.7812,0.3369,3.78,187.93,60.16,0.518,1.04,0.691,18.47,1.876,266.87,2460665.75
"363599 (2004 FG11)",1.587,0.7236,3.14,83.45,228.81,0.439,2.73,2,21.04,0.152,69.50,2460459.58
"363734 (2004 XN50)",1.681,0.7782,3.31,62.40,253.41,0.373,2.99,2.18,18.82,,55.37,2460478.02
"363790 (2005 JE46)",1.903,0.5523,8.27,238.33,114.77,0.852,2.95,2.63,17.85,,90.46,2460359.54
"363831 (2005 PY16)",1.976,0.5250,6.41,159.31,193.53,0.939,3.01,2.78,19.35,0.371,327.45,2460692.22
"364136 (2006 CJ)",0.6766,0.7548,10.22,303.22,29.67,0.166,1.19,0.557,20.19,,28.55,2460584.38
"365014 (2008 OX2)",1.048,0.6019,6.65,220.11,252.03,0.417,1.68,1.07,20.10,,293.32,2460673.03
"365071 (2009 AV)",1.03,0.0739,45.87,150.73,322.13,0.954,1.11,1.04,18.18,0.674,79.79,2460515.91
"365424 (2010 KX7)",0.9893,0.1709,21.49,46.46,61.93,0.820,1.16,0.984,21.91,0.212,331.91,2460628.55
"366746 (2004 LJ)",1.087,0.4614,18.28,246.69,256.10,0.585,1.59,1.13,20.16,,52.20,2460540.52
"366774 (2004 TB18)",1.815,0.4507,13.20,120.98,13.18,0.997,2.63,2.44,17.87,0.859,10.58,2460574.26
"367248 (2007 MK13)",1.025,0.1397,19.88,95.08,259.97,0.881,1.17,1.04,20.21,0.386,185.35,2460784.25
"367789 (2011 AG5)",1.424,0.3882,3.69,135.59,54.05,0.871,1.98,1.7,21.77,,336.11,2460641.69
"368203 (2001 KO2)",2.479,0.6177,12.46,242.30,328.84,0.948,4.01,3.9,20.56,,339.25,2460682.71
"368565 (2004 FE5)",1.245,0.6005,18.30,189.40,243.47,0.497,1.99,1.39,20.09,,337.80,2460631.80
"369057 (2008 DK5)",1.555,0.6151,4.27,345.62,81.00,0.598,2.51,1.94,21.32,,237.26,2460841.91
"369264 (2009 MS)",2.005,0.5700,52.38,252.05,219.54,0.862,3.15,2.84,16.34,1.515,269.44,2460861.37
"371660 (2007 CN26)",1.292,0.2693,7.59,159.27,135.69,0.944,1.64,1.47,21.11,0.230,231.68,2460791.79
